f_name, year, lead
Julie, 2009, Jason Mesnick
Greg, 2009, Jillian Harris
Channy, 2010, Jake Pavelka
Roberto, 2010, Ali Fedotowsky
Dianna, 2012, Ben Flajnik
Lerone, 2012, Emily Maynard
Alejandro, 2012, Emily Maynard
Ashley, 2013, Sean Lowe
Brooke, 2013, Sean Lowe
Leslie, 2013, Sean Lowe
Robyn, 2013, Sean Lowe
Selma, 2013, Sean Lowe
Catherine, 2013, Sean Lowe
Diogo, 2013, Desiree Hartsock
Mike, 2013, Desiree Hartsock
Will, 2013, Desiree Hartsock
Mikey, 2013, Desiree Hartsock
Juan Pablo, 2013, Desiree Hartsock
James, 2013, Desiree Hartsock
Chantel, 2014, Juan Pablo Galavis
Danielle, 2014, Juan Pablo Galavis
Sharleen, 2014, Juan Pablo Galavis
Ron, 2014, Andi Dorfman
Tasos, 2014, Andi Dorfman
Marquel, 2014, Andi Dorfman
Amber, 2015, Chris Soules
David, 2015, Kaitlyn Bristowe
Kupa, 2015, Kaitlyn Bristowe
Jonathan, 2015, Kaitlyn Bristowe
Ian, 2015, Kaitlyn Bristowe
Amber, 2016, Ben Higgins
Jami, 2016, Ben Higgins
Jubilee, 2016, Ben Higgins
Caila, 2016, Ben Higgins
Jo-Jo, 2016, Ben Higgins